level_0	level_1	weight
Aimp2	Abcf2	1.0
Aimp2	Aco1	1.0
Aip	Ahcy	1.0
Ak1	Adipor2	1.0
Ak6	Acp2	1.0
Akap1	Agl	1.0
Akap10	Ahcyl1	1.0
Akap13	4931406P16Rik	1.0
Akap6	A530016L24Rik	1.0
Akap6	Adprhl1	1.0
Akap8	2610001J05Rik	1.0
Akip1	1110038F14Rik	1.0
Akip1	Adgrl4	1.0
Akip1	Adh5	1.0
Akip1	Aga	1.0
Akip1	AI413582	1.0
Akr1a1	1110038F14Rik	1.0
Akr1a1	Adgrl4	1.0
Akr1a1	Adh5	1.0
Akr1a1	Aga	1.0
Akr1a1	AI413582	1.0
Akr1a1	Akip1	1.0
Akr1b10	1700021F05Rik	1.0
Akr1b10	2300009A05Rik	1.0
Akr1b10	Abcb10	1.0
Akr1b10	Agpat2	1.0
Akt1	1110065P20Rik	1.0
Akt1	2510039O18Rik	1.0
Akt1	Abhd12	1.0
Akt1	Agap3	1.0
Akt2	Adipor2	1.0
Akt2	Ak1	1.0
Akt3	Acvr2a	1.0
Alad	1700021F05Rik	1.0
Alad	2300009A05Rik	1.0
Alad	Abcb10	1.0
Alad	Agpat2	1.0
Alad	Akr1b10	1.0
Alas1	Acaa2	1.0
Alas1	Acad11	1.0
Alas1	Acadvl	1.0
Alas1	Aco2	1.0
Alas1	Acox1	1.0
Alas1	Acss1	1.0
Aldh1a1	1110059G10Rik	1.0
Aldh1a1	1810009A15Rik	1.0
Aldh1a1	4921524J17Rik	1.0
Aldh1a1	9130401M01Rik	1.0
Aldh1a1	Acp1	1.0
Aldh1a1	Adgre1	1.0
Aldh1a1	Aggf1	1.0
Aldh2	1700021F05Rik	1.0
Aldh2	2300009A05Rik	1.0
Aldh2	Abcb10	1.0
Aldh2	Agpat2	1.0
Aldh2	Akr1b10	1.0
Aldh2	Alad	1.0
Aldh3a2	1110038F14Rik	1.0
Aldh3a2	Adgrl4	1.0
Aldh3a2	Adh5	1.0
Aldh3a2	Aga	1.0
Aldh3a2	AI413582	1.0
Aldh3a2	Akip1	1.0
Aldh3a2	Akr1a1	1.0
Aldh3b1	Abi1	1.0
Aldh4a1	2310061I04Rik	1.0
Aldh4a1	Acss2	1.0
Alg1	0610010K14Rik	1.0
Alg1	2410004B18Rik	1.0
Alg1	9530068E07Rik	1.0
Alg1	A430005L14Rik	1.0
Alg1	Aamp	1.0
Alg1	Actl6a	1.0
Alg1	Adprh	1.0
Alg10b	0610010F05Rik	1.0
Alg10b	1600012H06Rik	1.0
Alg10b	3110040N11Rik	1.0
Alg10b	Abca1	1.0
Alg11	Actr2	1.0
Alg14	Abhd17a	1.0
Alg5	1110012L19Rik	1.0
Alkbh3	1110008P14Rik	1.0
Alkbh5	2610507B11Rik	1.0
Alkbh5	Aarsd1	1.0
Alkbh5	Acaa1a	1.0
Alkbh5	Afg1l	1.0
Alkbh5	Aifm2	1.0
Alkbh5	Aig1	1.0
Alkbh7	2610507B11Rik	1.0
Alkbh7	Aarsd1	1.0
Alkbh7	Acaa1a	1.0
Alkbh7	Afg1l	1.0
Alkbh7	Aifm2	1.0
Alkbh7	Aig1	1.0
Alkbh7	Alkbh5	1.0
Alox5ap	Abhd17b	1.0
Alox5ap	Actg1	1.0
Alox5ap	Adam9	1.0
Alpk2	Actc1	1.0
Alpk2	Actn2	1.0
Alpl	Aldoa	1.0
Amacr	Abcb8	1.0
Amacr	Abhd11	1.0
Amacr	Agpat3	1.0
Amdhd2	Ahcy	1.0
Amdhd2	Aip	1.0
Amfr	Abhd16a	1.0
Amfr	Acbd6	1.0
Anapc1	Ahcyl1	1.0
Anapc1	Akap10	1.0
Anapc11	Acp2	1.0
Anapc11	Ak6	1.0
Anapc13	Abca8a	1.0
Anapc15	1110038F14Rik	1.0
Anapc15	Adgrl4	1.0
Anapc15	Adh5	1.0
Anapc15	Aga	1.0
Anapc15	AI413582	1.0
Anapc15	Akip1	1.0
Anapc15	Akr1a1	1.0
Anapc15	Aldh3a2	1.0
Anapc16	4930453N24Rik	1.0
Anapc16	Adamts2	1.0
Anapc5	Ak2	1.0
Ang	2610044O15Rik8	1.0
Angel2	Acvr2a	1.0
Angel2	Akt3	1.0
Angptl2	1110038F14Rik	1.0
Angptl2	Adgrl4	1.0
Angptl2	Adh5	1.0
Angptl2	Aga	1.0
Angptl2	AI413582	1.0
Angptl2	Akip1	1.0
Angptl2	Akr1a1	1.0
Angptl2	Aldh3a2	1.0
Angptl2	Anapc15	1.0
Ank	Adssl1	1.0
Ankle2	4930453N24Rik	1.0
Ankle2	Adamts2	1.0
Ankle2	Anapc16	1.0
Ankmy2	2310011J03Rik	1.0
Ankmy2	Aasdhppt	1.0
Ankmy2	Abhd13	1.0
Ankmy2	Agpat5	1.0
Ankmy2	Aimp1	1.0
Ankra2	Acvr2a	1.0
Ankra2	Akt3	1.0
Ankra2	Angel2	1.0
Ankrd11	4931406P16Rik	1.0
Ankrd11	Akap13	1.0
Ankrd13a	Aebp1	1.0
Ankrd40	Aldoa	1.0
Ankrd40	Alpl	1.0
Ankrd46	Aftph	1.0
Ankrd46	Agps	1.0
Ankrd46	AI987944	1.0
Ankrd49	0610009B22Rik	1.0
Ankrd49	1110032A03Rik	1.0
Ankrd49	1810030O07Rik	1.0
Ankrd49	4933434E20Rik	1.0
Ankrd49	Abraxas2	1.0
Ankrd49	Acbd5	1.0
Ankrd49	Adam17	1.0
Ankrd49	Adcy7	1.0
Ankrd9	Ank2	1.0
Anks1	2610507B11Rik	1.0
Anks1	Aarsd1	1.0
Anks1	Acaa1a	1.0
Anks1	Afg1l	1.0
Anks1	Aifm2	1.0
Anks1	Aig1	1.0
Anks1	Alkbh5	1.0
Anks1	Alkbh7	1.0
Ano6	Abl2	1.0
Anp32a	0610009B22Rik	1.0
Anp32a	1110032A03Rik	1.0
Anp32a	1810030O07Rik	1.0
Anp32a	4933434E20Rik	1.0
Anp32a	Abraxas2	1.0
Anp32a	Acbd5	1.0
Anp32a	Adam17	1.0
Anp32a	Adcy7	1.0
Anp32a	Ankrd49	1.0
Anp32b	Aebp1	1.0
Anp32b	Ankrd13a	1.0
Anp32e	Akap11	1.0
Antxr2	2610507B11Rik	1.0
Antxr2	Aarsd1	1.0
Antxr2	Acaa1a	1.0
Antxr2	Afg1l	1.0
Antxr2	Aifm2	1.0
Antxr2	Aig1	1.0
Antxr2	Alkbh5	1.0
Antxr2	Alkbh7	1.0
Antxr2	Anks1	1.0
Anxa5	1110012L19Rik	1.0
Anxa5	Alg5	1.0
Aox1	4430402I18Rik	1.0
Ap1ar	1110059G10Rik	1.0
Ap1ar	1810009A15Rik	1.0
Ap1ar	4921524J17Rik	1.0
Ap1ar	9130401M01Rik	1.0
Ap1ar	Acp1	1.0
Ap1ar	Adgre1	1.0
Ap1ar	Aggf1	1.0
Ap1ar	Aldh1a1	1.0
Ap1g1	Anln	1.0
Ap1m1	Abr	1.0
Ap1m1	Acta2	1.0
Ap1s1	Ahcy	1.0
Ap1s1	Aip	1.0
Ap1s1	Amdhd2	1.0
